Topic,Rank,Word,Score
15,7,missile,0.017863908329658704
15,8,interoperability,0.016552919615580954
15,9,field,0.01613515568289991
15,10,management,0.015459580489633024
16,1,train,0.1084916923416775
16,2,unit,0.04016447224183529
16,3,readiness,0.036350596432964025
16,4,requirement,0.03222993071130868
16,5,army,0.022066031361435878
16,6,rc,0.02186112477478263
16,7,reserve,0.017509030789191735
16,8,sergeant,0.014281400082400484
16,9,ctc,0.014280616316446742
16,10,annual,0.013876473484475498
17,1,sfa,0.05200304345720558
17,2,advisor,0.028059130776443522
17,3,operation,0.02153687044430763
17,4,brigade,0.017175264795483734
17,5,army,0.015008146330388373
17,6,military,0.014499267719662083
17,7,combat,0.014009571579709295
17,8,formation,0.013902149917781957
17,9,vanguard,0.013494787283777817
17,10,msas,0.012867506402321953
18,1,reserve,0.08101955288429817
18,2,support,0.03885038434756533
18,3,army,0.03602613762515023
18,4,mobilization,0.027542252706687694
18,5,unit,0.026345933919125247
18,6,state,0.024781320779721044
18,7,soldier,0.02247948992757698
18,8,duty,0.0189930796605331
18,9,reservist,0.017690033104493314
18,10,section,0.016052567805403945
19,1,sustainment,0.02092205430037279
19,2,combat,0.01994223656337138
19,3,requirement,0.015532691261458552
19,4,reduce,0.01503752052752743
19,5,military,0.014447513805201519
19,6,modernization,0.013507845546880297
19,7,readiness,0.013477068688342872
19,8,operation,0.01272627693481773
19,9,component,0.011877625796736159
19,10,equip,0.011811471656711635
20,1,equipment,0.06719620724232868
20,2,maintenance,0.04123334107480592
20,3,support,0.030394858299381877
20,4,modernization,0.026416076008865374
20,5,sustainment,0.02375731497468271
20,6,readiness,0.023287811701030614
20,7,army,0.01956893126986913
20,8,organization,0.018020904610128417
20,9,deploy,0.01656536285196559
20,10,ammunition,0.014168661076588016
